id,title,channel_name,impressions,age_0_9,age_10s,age_20s,age_30s,age_40s,age_50_plus,gender_male,gender_female,reason
q_RALtCWwyU,여자를 잘 만나면 트럭커도 팔자 편다,권마키,141.0,0.0,0.0,0.15,0.5,0.3,0.05,0.9,0.1,"The content is focused on trucking, a typically male-dominated industry, hence a higher male viewership is expected. Additionally, the content targets working adults, likely in their 30s and 40s, with insights into professional trucking life and logistics."
s1gNIUTBlSA,내 나이 36 '진격의거인'에 미치다…,감스트GAMST,178.0,0.0,0.1,0.5,0.35,0.05,0.0,0.85,0.15,"The channel 'GAMST' is known for gaming and entertainment content, attracting a predominantly male audience. The topic of 'Attack on Titan' appeals mainly to young adults and fans in their 20s and 30s, with a strong male skew due to its action-oriented narrative."
2iWnJHtLTDw,이게 유행이라고? 도대체 왜..??,감스트GAMST,834.0,0.05,0.5,0.4,0.05,0.0,0.0,0.9,0.1,"The channel '감스트GAMST' is known for gaming and entertainment content, which typically attracts a younger male audience. The video script and title suggest a humorous take on a trend, likely appealing to teenagers and young adults."
zU7LGJ5MGAo,한국에 생긴 추성훈 스테이크 먹어본 추성훈 김동현 반응,매미킴,180.0,0.0,0.1,0.4,0.3,0.15,0.05,0.9,0.1,"The content features martial arts personalities discussing training and competitions, which typically appeals to a male audience interested in sports and fighting. The age distribution reflects interest from young adults to middle-aged viewers, with a focus on those in their 20s and 30s."
-wgchSHhAXY,10만 원으로 픽시 자전거를 살 수 있을까?,0.1통 라이더,135.0,0.0,0.1,0.2,0.4,0.2,0.1,0.9,0.1,"The video is about purchasing a fixie bike, which is typically of more interest to a male audience interested in cycling and technical hobbies. The focus on budget and deal-hunting may attract viewers in their 30s and 40s who are managing family budgets."
qxGiYdGdc3o,⭐설날 기념⭐ 짐승친구들 몰아보기 ( + 쿠키 영상),짤툰,102.0,0.1,0.2,0.4,0.2,0.1,0.0,0.9,0.1,"The channel '짤툰' is known for comedic and animated content often appealing to a younger male audience. The script features humorous and chaotic interactions, which aligns with the interests of teenage and 20s males who enjoy humor and gaming culture."
LRlSwTLd36Y,해마다 텃밭에서 발견되는 수십마리 뱀들 이제 싹 잡아드립니다,코파,380.0,0.0,0.05,0.1,0.3,0.35,0.2,0.9,0.1,"The content is about snake hunting and wildlife, which generally attracts a male audience. The channel name '코파' and the script suggest an older audience interested in outdoor activities and wildlife management."
KMxCYNakusA,그동안 감사했습니다.. 슈뻘맨은 이제 여기까지.. 땅에 묻히다..,슈뻘맨 [슈퍼 뻘짓 도전기],218.0,0.05,0.6,0.3,0.03,0.01,0.01,0.9,0.1,"The channel '슈뻘맨' is known for its comedic challenges and skits, appealing mainly to teenagers and young adults. The content, style, and humor are more aligned with a younger, male audience, typical for entertainment content with playful banter and jokes."
bToRj-GBMj8,자기 전에 들으면 저절로 지식이 쌓이는 역사 이야기들 (역사 ASMR 몰아보기) [EP.67~72],보다 BODA,234.0,0.0,0.05,0.35,0.4,0.15,0.05,0.8,0.2,"The content focuses on history, a topic that typically attracts more male viewers. The age distribution suggests that older audiences, such as 30s and 40s, are likely interested in the educational, detailed nature of historical ASMR content."
O1uMt06eOmk,악명높은 영국음식 유랑기 - 영국(1),곽튜브,1346.0,0.0,0.15,0.65,0.15,0.05,0.0,0.85,0.15,"The channel '곽튜브' is a well-known Korean travel and lifestyle channel that appeals mainly to young adults, especially those interested in travel and sports. The video content focuses on a football-related travel experience, likely attracting a predominantly male audience, particularly in their 20s."
